description-word,descripting,word-no,valence-mean,valence-SD,arousal-mean,arousal-SD,dominance-mean,dominance-SD,word-freq
anger,anger,17,2.34,1.32,7.63,1.91,5.5,2.82,48
angry,angri,18,2.85,1.7,7.17,2.07,5.55,2.74,45
anguished,anguish,19,2.12,1.56,5.33,2.69,3.45,2.37,2
ankle,ankl,638,5.27,1.54,4.16,2.03,4.77,1.74,8
annoy,annoy,20,2.74,1.81,6.49,2.17,5.09,2.04,2
answer,answer,639,6.63,1.68,5.41,2.43,5.85,1.88,152
anxious,anxious,21,4.81,1.98,6.92,1.81,5.33,1.82,29
applause,applaus,640,7.5,1.5,5.8,2.79,6.48,2.11,14
appliance,applianc,641,5.1,1.21,4.05,2.06,5.05,1.34,5
arm,arm,642,5.34,1.82,3.59,2.4,5.07,1.5,94
army,armi,23,4.72,1.75,5.03,2.03,5.03,2.45,132
aroused,arous,24,7.97,1,6.63,2.7,6.14,1.97,20
arrogant,arrog,25,3.69,2.4,5.65,2.23,5.14,2.71,2
art,art,643,6.68,2.1,4.86,2.88,5.3,2.33,208
assassin,assassin,26,3.09,2.09,6.28,2.53,4.33,2.68,6
assault,assault,27,2.03,1.55,7.51,2.28,3.94,3.1,15
astonished,astonish,28,6.56,1.61,6.58,2.22,5.16,1.79,6
astronaut,astronaut,501,6.66,1.6,5.28,2.11,5.2,1.95,2
athletics,athlet,644,6.61,2.08,6.1,2.29,6.12,2.12,9
autumn,autumn,29,6.3,2.14,4.51,2.5,5.15,1.85,22
avalanche,avalanch,645,3.29,1.95,5.54,2.37,3.61,2,1
avenue,avenu,646,5.5,1.37,4.12,2.01,5.4,1.53,46
awed,awe,30,6.7,1.38,5.74,2.31,5.3,2.03,5
baby,babi,31,8.22,1.2,5.53,2.8,5,2.8,62
bake,bake,647,6.17,1.71,5.1,2.3,5.49,1.88,12
bandage,bandag,648,4.54,1.75,3.9,2.07,4.52,1.89,4
bankrupt,bankrupt,32,2,1.31,6.21,2.79,3.27,2.39,5
banner,banner,649,5.4,0.83,3.83,1.95,4.8,1.57,8
bar,bar,650,6.42,2.05,5,2.83,5.47,1.94,82
barrel,barrel,651,5.05,1.46,3.36,2.28,4.89,1.57,24
basket,basket,547,5.45,1.15,3.63,2.02,5.76,1.45,17
bastard,bastard,33,3.36,2.16,6.07,2.15,4.17,2.4,12
bath,bath,502,7.33,1.45,4.16,2.31,6.41,1.87,26
bathroom,bathroom,548,5.55,1.36,3.88,1.72,5.65,1.59,18
bathtub,bathtub,652,6.69,1.57,4.36,2.59,5.76,1.76,4
beach,beach,34,8.03,1.59,5.53,3.07,5.44,2.52,61
beast,beast,653,4.23,2.41,5.57,2.61,4.89,2.29,7
beautiful,beauti,654,7.6,1.64,6.17,2.34,6.29,1.81,127
beauty,beauti,35,7.82,1.16,4.95,2.57,5.53,2.1,71
bed,bed,549,7.51,1.38,3.61,2.56,6.88,1.78,127
bees,bee,583,3.2,2.07,6.51,2.14,4.16,2.11,15
beggar,beggar,36,3.22,2.02,4.91,2.45,4.09,2.38,2
bench,bench,655,4.61,1.4,3.59,2.07,4.68,1.38,35
bereavement,bereav,656,4.57,1.7,4.2,2.15,4.33,1.73,4
betray,betray,37,1.68,1.02,7.24,2.06,4.92,2.97,4
beverage,beverag,657,6.83,1.48,5.21,2.46,5.63,2.17,5
bird,bird,38,7.27,1.36,3.17,2.23,4.42,2.26,31
birthday,birthday,39,7.84,1.92,6.68,2.11,5.89,2.61,18
black,black,543,5.39,1.8,4.61,2.24,5.14,1.79,203
blackmail,blackmail,40,2.95,1.95,6.03,2.7,3.54,2.67,2
bland,bland,658,4.1,1.08,3.29,1.89,4.88,1.27,3
blase,blase,41,4.89,1.16,3.94,1.76,4.57,1.44,7
blasphemy,blasphemi,659,3.75,2.26,4.93,2.34,4.75,1.59,4
bless,bless,42,7.19,1.69,4.05,2.59,5.52,2.22,9
blind,blind,43,3.05,1.99,4.39,2.36,3.28,1.91,47
bliss,bliss,660,6.95,2.24,4.41,2.95,6.12,2.15,4
blister,blister,661,2.88,1.75,4.1,2.34,3.98,1.9,3
blond,blond,662,6.43,2.04,5.07,2.7,5.74,1.67,11
bloody,bloodi,584,2.9,1.98,6.41,2,3.96,1.89,8
blossom,blossom,44,7.26,1.18,5.03,2.65,5.53,2.21,7
blubber,blubber,663,3.52,1.99,4.57,2.38,3.86,1.97,1
blue,blue,544,6.76,1.78,4.31,2.2,5.63,1.64,143
board,board,664,4.82,1.23,3.36,2.12,4.98,1.77,239
body,bodi,665,5.55,2.37,5.52,2.63,5.34,2.12,276
bold,bold,45,6.8,1.61,5.6,2.21,6.67,1.81,21
bomb,bomb,46,2.1,1.19,7.15,2.4,4.54,2.88,36
book,book,47,5.72,1.54,4.17,2.49,5.3,2.05,193
bored,bore,48,2.95,1.35,2.83,2.31,4.11,1.7,14
bottle,bottl,666,6.15,1.49,4.79,2.44,4.78,1.65,76
bouquet,bouquet,667,7.02,1.84,5.46,2.47,6.15,1.8,4
bowl,bowl,49,5.33,1.33,3.47,2.12,4.69,1.67,23
boxer,boxer,585,5.51,1.8,5.12,2.26,5.1,1.64,1
boy,boy,50,6.32,1.6,4.58,2.37,5.34,2.2,242
brave,brave,668,7.15,1.64,6.15,2.45,7.22,1.86,24
breast,breast,51,6.5,1.78,5.37,2.39,5.39,2.27,11
breeze,breez,669,6.85,1.71,4.37,2.32,5.54,1.67,14
bride,bride,670,7.34,1.71,5.55,2.74,5.74,2.36,33
bright,bright,671,7.5,1.55,5.4,2.33,6.34,1.82,87
broken,broken,672,3.05,1.92,5.43,2.42,4.14,1.62,63
brother,brother,52,7.11,2.17,4.71,2.68,5.12,2.31,73
brutal,brutal,53,2.8,1.9,6.6,2.36,4.59,2.7,7
building,build,550,5.29,1.15,3.92,1.94,5.25,1.57,160
bullet,bullet,673,3.29,2.06,5.33,2.48,3.9,2.61,28
bunny,bunni,54,7.24,1.32,4.06,2.61,4.97,2.18,1
burdened,burden,55,2.5,1.32,5.63,2.07,5.03,2.35,4
burial,burial,56,2.05,1.41,5.08,2.4,3.55,1.95,11
burn,burn,586,2.73,1.72,6.22,1.91,4.22,1.83,15
bus,bus,541,4.51,1.57,3.55,1.8,4.84,1.75,34
busybody,busybodi,674,5.17,2.02,4.84,2.41,5.45,1.97,0
butter,butter,57,5.33,1.2,3.17,1.84,4.67,1.69,27
butterfly,butterfli,58,7.17,1.2,3.47,2.39,4.65,2.27,2
cabinet,cabinet,675,5.05,0.31,3.43,1.85,4.73,1.66,17
cake,cake,59,7.26,1.27,5,2.37,5.16,2.05,9
cancer,cancer,60,1.5,0.85,6.42,2.83,3.42,2.99,25
candy,candi,61,6.54,2.09,4.58,2.4,5.33,1.91,16
cane,cane,677,4,1.8,4.2,1.93,4.27,1.95,12
cannon,cannon,678,4.9,2.2,4.71,2.84,5.17,2.29,7
capable,capabl,62,7.16,1.39,5.08,2.07,6.47,1.94,66
car,car,551,7.73,1.63,6.24,2.04,6.98,2.06,274
carcass,carcass,679,3.34,1.92,4.83,2.07,4.9,1.79,7
carefree,carefre,63,7.54,1.38,4.17,2.84,5.78,2.5,9
caress,caress,64,7.84,1.16,5.14,3,5.83,2.13,1
cash,cash,503,8.37,1,7.37,2.21,6.96,2.39,36
casino,casino,680,6.81,1.66,6.51,2.12,5.12,2.15,2
cat,cat,504,5.72,2.43,4.38,2.24,6.16,2.05,0
cell,cell,587,3.82,1.7,4.08,2.19,4.12,2.13,65
cellar,cellar,681,4.32,1.68,4.39,2.33,4.66,1.61,26
